Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1
off,off,off,off,off,on,68,66,28,70,66,28,68,66,28,70,66,28
off,off,off,off,on,on,68,66,28,70,66,28,68,66,28,70,66,28
off,off,off,on,off,on,68,66,28,70,66,28,68,66,28,70,66,28
off,off,off,on,on,on,54,66,28,54,66,28,54,66,28,54,66,28
off,off,on,off,off,on,68,66,28,70,66,28,68,66,28,70,66,28
off,off,on,off,on,on,54,54,28,54,54,28,54,54,28,54,54,28
off,off,on,on,off,on,68,66,28,70,66,28,68,66,28,70,66,28
off,off,on,on,on,on,54,54,28,54,54,28,54,54,28,54,54,28
off,on,off,off,off,on,68,66,28,70,66,28,68,66,28,70,66,28
off,on,off,off,on,on,68,66,28,70,66,28,68,66,28,70,66,28
off,on,off,on,off,on,68,66,28,70,66,28,68,66,28,70,66,28
off,on,off,on,on,on,54,54,28,54,54,28,54,54,28,54,54,28
off,on,on,off,off,on,68,66,28,70,66,28,68,66,28,70,66,28
off,on,on,off,on,on,54,54,28,54,54,28,54,54,28,54,54,28
off,on,on,on,off,on,68,66,28,70,66,28,68,66,28,70,66,28
off,on,on,on,on,on,54,54,28,54,54,28,54,54,28,54,54,28
on,off,off,off,off,any,42,42,28,42,42,28,42,42,28,42,42,28
on,off,off,off,on,any,42,42,28,42,42,28,42,42,28,42,42,28
on,off,off,on,off,any,42,42,28,42,42,28,42,42,28,42,42,28
on,off,off,on,on,any,42,42,28,42,42,28,42,42,28,42,42,28
on,off,on,off,off,any,42,42,28,42,42,28,42,42,28,42,42,28
on,off,on,off,on,any,42,42,28,42,42,28,42,42,28,42,42,28
on,off,on,on,off,any,42,42,28,42,42,28,42,42,28,42,42,28
on,off,on,on,on,any,42,42,28,42,42,28,42,42,28,42,42,28
on,on,off,off,off,any,42,42,28,42,42,28,42,42,28,42,42,28
on,on,off,off,on,any,42,42,28,42,42,28,42,42,28,42,42,28
on,on,off,on,off,any,42,42,28,42,42,28,42,42,28,42,42,28
on,on,off,on,on,any,42,42,28,42,42,28,42,42,28,42,42,28
on,on,on,off,off,any,42,42,28,42,42,28,42,42,28,42,42,28
on,on,on,off,on,any,42,42,28,42,42,28,42,42,28,42,42,28
on,on,on,on,off,any,42,42,28,42,42,28,42,42,28,42,42,28
on,on,on,on,on,any,42,42,28,42,42,28,42,42,28,42,42,28
off,off,any,off,any,off,68,66,28,70,66,28,68,66,28,70,66,28
off,on,any,off,any,off,54,54,28,54,54,28,54,54,28,54,54,28
off,off,any,on,any,off,54,54,28,54,54,28,54,54,28,54,54,28
